COHORTE,PERÍODO ACADÉMICO CURSA,SEDE,CAMPUS,CARRERA,ÁREA,MODALIDAD,TIPO PROYECTOEDUCATIVO,NRO ALUMNOS
2017 - 2018,2017 - 2018,GUAYAQUIL,CENTENARIO,ADMINISTRACIÓN DE EMPRESAS,CIENCIAS ADMINISTRATIVAS Y ECONÓMICAS,PRESENCIAL,NUEVA O REDISEÑO,143
2017 - 2018,2017 - 2018,GUAYAQUIL,CENTENARIO,COMPUTACIÓN,CIENCIA Y TECNOLOGÍA,PRESENCIAL,NUEVA O REDISEÑO,128
2017 - 2018,2017 - 2018,GUAYAQUIL,CENTENARIO,COMUNICACIÓN,CIENCIAS SOCIALES Y DEL COMPORTAMIENTO HUMANO,PRESENCIAL,NUEVA O REDISEÑO,58
2017 - 2018,2017 - 2018,GUAYAQUIL,CENTENARIO,CONTABILIDAD Y AUDITORÍA,CIENCIAS ADMINISTRATIVAS Y ECONÓMICAS,PRESENCIAL,NUEVA O REDISEÑO,91
2017 - 2018,2017 - 2018,GUAYAQUIL,CENTENARIO,ELECTRICIDAD,CIENCIA Y TECNOLOGÍA,PRESENCIAL,NUEVA O REDISEÑO,64
2017 - 2018,2017 - 2018,GUAYAQUIL,CENTENARIO,ELECTRÓNICA Y AUTOMATIZACIÓN,CIENCIA Y TECNOLOGÍA,PRESENCIAL,NUEVA O REDISEÑO,45
2017 - 2018,2017 - 2018,GUAYAQUIL,CENTENARIO,INGENIERÍA AUTOMOTRIZ,CIENCIA Y TECNOLOGÍA,PRESENCIAL,NUEVA O REDISEÑO,70
2017 - 2018,2017 - 2018,GUAYAQUIL,CENTENARIO,INGENIERÍA INDUSTRIAL,CIENCIA Y TECNOLOGÍA,PRESENCIAL,NUEVA O REDISEÑO,113
2017 - 2018,2017 - 2018,GUAYAQUIL,CENTENARIO,MECATRÓNICA,CIENCIA Y TECNOLOGÍA,PRESENCIAL,NUEVA O REDISEÑO,81
2017 - 2018,2017 - 2018,GUAYAQUIL,CENTENARIO,TELECOMUNICACIONES,CIENCIA Y TECNOLOGÍA,PRESENCIAL,NUEVA O REDISEÑO,48
2017 - 2018,2017 - 2018,MATRIZ CUENCA,EL VECINO,ADMINISTRACIÓN DE EMPRESAS,CIENCIAS ADMINISTRATIVAS Y ECONÓMICAS,PRESENCIAL,NUEVA O REDISEÑO,98
2017 - 2018,2017 - 2018,MATRIZ CUENCA,EL VECINO,BIOTECNOLOGÍA,CIENCIAS DE LA VIDA,PRESENCIAL,NUEVA O REDISEÑO,46
2017 - 2018,2017 - 2018,MATRIZ CUENCA,EL VECINO,COMPUTACIÓN,CIENCIA Y TECNOLOGÍA,PRESENCIAL,NUEVA O REDISEÑO,80
2017 - 2018,2017 - 2018,MATRIZ CUENCA,EL VECINO,COMUNICACIÓN,CIENCIAS SOCIALES Y DEL COMPORTAMIENTO HUMANO,PRESENCIAL,NUEVA O REDISEÑO,28
2017 - 2018,2017 - 2018,MATRIZ CUENCA,EL VECINO,CONTABILIDAD Y AUDITORÍA,CIENCIAS ADMINISTRATIVAS Y ECONÓMICAS,PRESENCIAL,NUEVA O REDISEÑO,85
2017 - 2018,2017 - 2018,MATRIZ CUENCA,EL VECINO,EDUCACIÓN BÁSICA,EDUCACION,PRESENCIAL,NUEVA O REDISEÑO,27
2017 - 2018,2017 - 2018,MATRIZ CUENCA,EL VECINO,EDUCACIÓN INICIAL,EDUCACION,PRESENCIAL,NUEVA O REDISEÑO,24
2017 - 2018,2017 - 2018,MATRIZ CUENCA,EL VECINO,ELECTRICIDAD,CIENCIA Y TECNOLOGÍA,PRESENCIAL,NUEVA O REDISEÑO,72
2017 - 2018,2017 - 2018,MATRIZ CUENCA,EL VECINO,ELECTRÓNICA Y AUTOMATIZACIÓN,CIENCIA Y TECNOLOGÍA,PRESENCIAL,NUEVA O REDISEÑO,51
2017 - 2018,2017 - 2018,MATRIZ CUENCA,EL VECINO,INGENIERÍA AMBIENTAL,CIENCIAS DE LA VIDA,PRESENCIAL,NUEVA O REDISEÑO,36
2017 - 2018,2017 - 2018,MATRIZ CUENCA,EL VECINO,INGENIERÍA AUTOMOTRIZ,CIENCIA Y TECNOLOGÍA,PRESENCIAL,NUEVA O REDISEÑO,204
2017 - 2018,2017 - 2018,MATRIZ CUENCA,EL VECINO,INGENIERÍA INDUSTRIAL,CIENCIA Y TECNOLOGÍA,PRESENCIAL,NUEVA O REDISEÑO,26
2017 - 2018,2017 - 2018,MATRIZ CUENCA,EL VECINO,MECÁNICA,CIENCIA Y TECNOLOGÍA,PRESENCIAL,NUEVA O REDISEÑO,36
2017 - 2018,2017 - 2018,MATRIZ CUENCA,EL VECINO,MECATRÓNICA,CIENCIA Y TECNOLOGÍA,PRESENCIAL,NUEVA O REDISEÑO,101
2017 - 2018,2017 - 2018,MATRIZ CUENCA,EL VECINO,MEDICINA VETERINARIA,CIENCIAS DE LA VIDA,PRESENCIAL,NUEVA O REDISEÑO,72
2017 - 2018,2017 - 2018,MATRIZ CUENCA,EL VECINO,PEDAGOGÍA DE LA ACTIVIDAD FISICA Y DEPORTE,EDUCACION,PRESENCIAL,NUEVA O REDISEÑO,24
2017 - 2018,2017 - 2018,MATRIZ CUENCA,EL VECINO,PSICOLOGÍA,CIENCIAS SOCIALES Y DEL COMPORTAMIENTO HUMANO,PRESENCIAL,NUEVA O REDISEÑO,92
2017 - 2018,2017 - 2018,MATRIZ CUENCA,EL VECINO,TELECOMUNICACIONES,CIENCIA Y TECNOLOGÍA,PRESENCIAL,NUEVA O REDISEÑO,30
