COHORTE,PERÍODO ACADÉMICO CURSA,SEDE,CAMPUS,CARRERA,ÁREA,MODALIDAD,TIPO PROYECTOEDUCATIVO,NRO ALUMNOS
2019 - 2020,2019 - 2020,GUAYAQUIL,CENTENARIO,ADMINISTRACIÓN DE EMPRESAS,CIENCIAS ADMINISTRATIVAS Y ECONÓMICAS,PRESENCIAL,AJUSTE CURRICULAR / PROYECTOS DE CARRERA NUEVOS,146
2019 - 2020,2019 - 2020,GUAYAQUIL,CENTENARIO,COMPUTACIÓN,CIENCIA Y TECNOLOGÍA,PRESENCIAL,AJUSTE CURRICULAR / PROYECTOS DE CARRERA NUEVOS,55
2019 - 2020,2019 - 2020,GUAYAQUIL,CENTENARIO,COMPUTACIÓN,CIENCIA Y TECNOLOGÍA,PRESENCIAL,NUEVA O REDISEÑO,1
2019 - 2020,2019 - 2020,GUAYAQUIL,CENTENARIO,COMUNICACIÓN,CIENCIAS SOCIALES Y DEL COMPORTAMIENTO HUMANO,PRESENCIAL,AJUSTE CURRICULAR / PROYECTOS DE CARRERA NUEVOS,33
2019 - 2020,2019 - 2020,GUAYAQUIL,CENTENARIO,CONTABILIDAD Y AUDITORÍA,CIENCIAS ADMINISTRATIVAS Y ECONÓMICAS,PRESENCIAL,AJUSTE CURRICULAR / PROYECTOS DE CARRERA NUEVOS,88
2019 - 2020,2019 - 2020,GUAYAQUIL,CENTENARIO,ELECTRICIDAD,CIENCIA Y TECNOLOGÍA,PRESENCIAL,AJUSTE CURRICULAR / PROYECTOS DE CARRERA NUEVOS,46
2019 - 2020,2019 - 2020,GUAYAQUIL,CENTENARIO,ELECTRÓNICA Y AUTOMATIZACIÓN,CIENCIA Y TECNOLOGÍA,PRESENCIAL,AJUSTE CURRICULAR / PROYECTOS DE CARRERA NUEVOS,34
2019 - 2020,2019 - 2020,GUAYAQUIL,CENTENARIO,INGENIERÍA AUTOMOTRIZ,CIENCIA Y TECNOLOGÍA,PRESENCIAL,AJUSTE CURRICULAR / PROYECTOS DE CARRERA NUEVOS,96
2019 - 2020,2019 - 2020,GUAYAQUIL,CENTENARIO,INGENIERÍA INDUSTRIAL,CIENCIA Y TECNOLOGÍA,PRESENCIAL,AJUSTE CURRICULAR / PROYECTOS DE CARRERA NUEVOS,110
2019 - 2020,2019 - 2020,GUAYAQUIL,CENTENARIO,MECATRÓNICA,CIENCIA Y TECNOLOGÍA,PRESENCIAL,AJUSTE CURRICULAR / PROYECTOS DE CARRERA NUEVOS,64
2019 - 2020,2019 - 2020,GUAYAQUIL,CENTENARIO,TELECOMUNICACIONES,CIENCIA Y TECNOLOGÍA,PRESENCIAL,AJUSTE CURRICULAR / PROYECTOS DE CARRERA NUEVOS,32
2019 - 2020,2019 - 2020,GUAYAQUIL,MARIA AUXILIADORA,ADMINISTRACIÓN DE EMPRESAS,CIENCIAS ADMINISTRATIVAS Y ECONÓMICAS,PRESENCIAL,AJUSTE CURRICULAR / PROYECTOS DE CARRERA NUEVOS,7
2019 - 2020,2019 - 2020,GUAYAQUIL,MARIA AUXILIADORA,BIOTECNOLOGÍA,CIENCIAS DE LA VIDA,PRESENCIAL,AJUSTE CURRICULAR / PROYECTOS DE CARRERA NUEVOS,92
2019 - 2020,2019 - 2020,GUAYAQUIL,MARIA AUXILIADORA,EDUCACIÓN INICIAL,EDUCACION,PRESENCIAL,AJUSTE CURRICULAR / PROYECTOS DE CARRERA NUEVOS,25
2019 - 2020,2019 - 2020,GUAYAQUIL,MARIA AUXILIADORA,INGENIERÍA AMBIENTAL,CIENCIAS DE LA VIDA,PRESENCIAL,AJUSTE CURRICULAR / PROYECTOS DE CARRERA NUEVOS,56
2019 - 2020,2019 - 2020,GUAYAQUIL,MARIA AUXILIADORA,INGENIERÍA CIVIL,CIENCIA Y TECNOLOGÍA,PRESENCIAL,AJUSTE CURRICULAR / PROYECTOS DE CARRERA NUEVOS,59
